global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters
,,4,"Грозы или метели (незасушливый регион). Осадки были не столько проблемой, сколько силой штормов. В таких условиях невозможно ни работать, ни путешествовать, поэтому жители села запираются внутри, пережидая грозы, которые стали случаться гораздо чаще.",,,,,,
,,5,"Лесные пожары. То ли поблизости, то ли в отдалении были пожары. В любом случае, они слишком близко для комфорта. На земле виден пепел, в воздухе чувствуется запах дыма, а близлежащие леса в опасности, если уже не горят.",,,,,,
,,6,"Град. Штормы, сбрасывающие с большой скорости куски льда, опустошают деревню, возможно, повреждая посевы, постройки или даже людей и животных, оказавшихся на открытом воздухе.",,,,,,
,,7,"Пыльные бури (засушливые районы). Пыльные бури проходят в удушливой дымке, что затрудняет передвижение или продолжительную работу на улице. Качество воздуха ужасное, и некоторые люди заболевают.",,,,,,
,,8,"Ураган (прибрежный район). Ураган приближается или уже пришел. Сильный ветер, проливной дождь, наводнение и град — все это было замечено. Некоторые люди могут бежать.",,,,,,
,,9,"Торнадо. Вращающийся циклон приближается или пронесся через деревню или рядом с ней, выкорчевывая посевы, разрушая здания или что похуже.",,,,,,
,,10,"Землетрясение. Движение земли под деревней вызывает или уже вызвало структурный обвал и, возможно, даже провалы и обвалы.",,,,,,
,Уровень опасности:,,,,,,,,
,1,1-2,Нет опасности или опасностей. Деревня — совершенно безопасное место (пропустите таблицу типов опасности).,,,,,,
,,3-6,Низкий. Опасность или опасности - редкость,,,,,,
,,7-14,"Середина. Опасности или опасности не являются чем-то неслыханным, но не все испытали их.",,,,,,
,,15-18,Высокая. Опасности или опасности являются общими.,,,,,,
,,19-20,Экстрим. Опасностей или опасностей предостаточно. Никогда не бывает безопасно идти куда-либо в одиночку.,,,,,,
,Характер опасности:,,,,,,,,
,1,1,"Атака дикой природы. Дикая природа обитает в непосредственной близости от деревни, которая может быть открытой или иметь мало защиты. Дикая природа может свободно бродить по деревне, особенно в часы с низким трафиком.",,,,,,
,,2,"Непонимание. Для вновь прибывших в село, особенно не из региона, общение может быть затруднено. Недопонимание может привести к опасным ситуациям.",,,,,,
,,3,"Несчастные случаи на рабочем месте. В зависимости от вида выполняемой работы может возникнуть вездесущая опасность, от несчастных случаев с животными до проблем с оборудованием, особенно если оно находится в плохом состоянии.",,,,,,
,,4,"Болезнь. В деревнях могут отсутствовать строгие стандарты чистоты или, из-за их расположения в сельской местности, иногда могут возникать проблемы с паразитами, переносящими болезни.",,,,,,
,,5,"Нежелательное внимание. Преимущество сплоченного сообщества в том, что все хорошо знакомы друг с другом. Это заставляет посетителей торчать как больной палец. Это может привлечь внимание жителей деревни или любого, кто может наблюдать.",,,,,,
,,6,"Добыча монстра. Большие монстры, которые могут рассматривать город или город как слишком опасную цель, могут рассматривать деревню как гораздо более легкий источник пищи.",,,,,,
