global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters,reroll
,,61-68,"Конюшня. Предоставляет жилье для лошадей, а также продает повозки, животных и их упряжь.",,,,,,,
,,69-80,Таверна. Предоставляет еду и напитки.,,,,,,,
,,81-82,"Наемная помощь - Грубияны и дебоширы. Бандиты, грубияны и мускулистая сила.",,,,,,,
,,83-84,"Наемные помощники -Плащ и кинжал. Ассасины, воры и шпионы.",,,,,,,
,,85-86,Наемные помощники -Луки и пращи. Лучники и специалисты по дальним атакам.,,,,,,,
,,87-88,"Наемные работники - писари и клерки. Мастера истории, литературы, математики и/или бизнеса.",,,,,,,
,,89-90,"Наемные помощники - проводники и следопыты. Скауты, рейнджеры и эксперты по дикой природе.",,,,,,,
,,91-92,"Наемные работники - караванщики и верховые. Специалисты по перевозкам и путешествиям в различные места, а также по организации и управлению экспедициями.",,,,,,,
,,93-94,Наемные помощники - академики магии. Эксперты в вопросах магии и знаний (может быть также природная магия или что-то другое; не обязательно исключительно арканы).,,,,,,,
,,95-96,"Наемные работники -магические наемники. Специалисты, обученные использованию колдовской или не божественной магии в бою и для решения практических задач.",,,,,,,
,,97-98,"Наемные помощники - священнослужители. Мудрецы, дающие советы по всем вопросам религии и Божественности.",,,,,,,
,,99-100,"Наемная помощь - Руки Бога. Специалисты, обученные использованию божественной магии в бою и для решения практических задач.",,,,,,,
,1,1,Магазин.,,,,,,,
,,2,Место оказания услуг.,,,,,,,
Дополнительные подробности:,,,,,,,,,,
,Недавние события:,,,,,,,,,
,1,1,Защищено. Нападение местных сил на город не удалось.,,,,,,,
,,2,"Карманники. Невидимые липкие руки на работе? Появилось много сообщений о карманниках на рынке, но ни одного не нашли.",,,,,,,
,,3,"Никаких авантюристов. Убирайся! Таверна в городе ввела политику запрета на авантюристов после того, как выдержала слишком много драк в одном баре.",,,,,,,
,,4,Спящий. Много работать или почти не работать? Один из охранников у главных ворот был найден спящим на своем посту.,,,,,,,
,,5,"Пауки. Один из местных детей занимается ловлей и разведением пауков. Пауки выросли очень большими, вырвались наружу и рассеялись по всему городу. Горожане находят их в домах, на предприятиях... везде.",,,,,,,
,,6,"Туннель. Что это тогда? На окраине кто-то обнаружил туннель, ведущий к городу. Еще более странно, что он неполный; не дойдя даже до половины. Кто прорыл туннель? Почему?",,,,,,,
,,7,"Препятствие. Если на дороге падает дерево, и никто не слышит его, останавливает ли это базарный день? Дошли новости о том, что массивное дерево, камень или другой большой природный объект упал и заблокировал основной путь в город в нескольких милях от него.",,,,,,,
,,8,"Ночь событий. Чтобы поднять боевой дух города, местный лидер предложил «ночь в городе», санкционированное свидание для всех местных жителей, где спонсируемые продавцы еды и развлечений предоставляют большие скидки романтическим парам, которые посещают их заведения.",,,,,,,
,Выдающиеся чиновники:,,,,,,,,size,
,0_1_8,1,Коррумпирован. Использование положения в личных целях.,,,,,,,
,,2-3,"Некомпетентный. Не совсем понимает, как выполнять свои обязанности.",,,,,,,
,,4-5,"Преданный идее. Полностью предан работе, искренне чувствуя, что она имеет жизненно важное значение.",,,,,,,
,,6,"Сверхквалифицированный. Основываясь на навыках и опыте, должен быть на более высокой или более сложной должности.",,,,,,,
,1,1,Коллектор. Отлавливает и приводит должников.,,,,,,,
,,2,Клерк. Регистрирует людей (придумай сам),,,,,,,
,,3,Казначейство. Ответственный за налоги.,,,,,,,
,,4,Тюремщик Отвечает за содержание заключенных.,,,,,,,
,,5,"Судья. Лицо, принимающее решения в юридических вопросах.",,,,,,,
,,6,Межевальщик. Определяет границы собственности.,,,,,,,
,,7,Мастер пира. Ведущий организатор фестивалей и специальных мероприятий.,,,,,,,
,,8,"Мастер магазинов. Наблюдает за городскими запасами припасов, таких как зерно или строительные материалы.",,,,,,,
,Базарный день:,,,,,,,,,
,1,1,"Приехал торговец, торгующий шустрыми обезьянками, и довел до возбужденного исступления как местных, так и приезжих детей.",,,,,,,
,,2,"Идет дождь. Жесткий. Многие продавцы борются за то, чтобы их товары оставались неиспорченными.",,,,,,,
,,3,"Фрукты и овощи в последнее время были в свободном доступе, поэтому они продаются за половину обычной цены.",,,,,,,
,,4,"Загон торговца скотом сломался, и коровы теперь бродят по всему городу. Торговец изо всех сил пытается их поймать.",,,,,,,
,,5,"Кухонный костер вызвал пожар, в результате которого загорелся один из прилавков, и теперь он угрожает распространиться на соседние столики.",,,,,,,
,,6,"В городе находится передвижной кукольный театр, который под восторженные аплодисменты представляет политическую пародию на некоторых известных региональных деятелей.",,,,,,,
,,7,"Бандиты, выдавая себя за торговцев, воруют товары у других законных торговцев поблизости.",,,,,,,
,,8,"Маленький ребенок украл яблоко из тележки с фруктами. Торговец заметил и кричит вслед маленькой убегающей фигурке, призывая кого-нибудь поймать их.",,,,,,,
,,9,"В городе проходит местная свадьба, а вместе с купцами на площади устраивается прием, дополняя весь гомон веселой музыкой и танцами.",,,,,,,
,,10,"Одна из таверн, выходящих окнами на рыночную площадь, объявила акцию в рыночный день, и теперь к ее дверям выстраивается постоянно растущая очередь.",,,,,,,
,,11,"Раненый охранник въехал на рыночную площадь, лихорадочно оглядываясь по сторонам. Они тут же потеряли сознание, упав с лошади.",,,,,,,
,,12,"Один из фургонов торговцев заражен каким-то вредителем, и охранники работают над тем, чтобы вывезти фургон и его груз, чтобы сжечь за пределами города, прежде чем он распространится. Купец спорит громко и отчаянно.",,,,,,,
